"Tanggal","Origin (UTC)","Lintang","Bujur","Magnitudo","Depth","Ket","Terasa","Dampak","Sumber","Petugas","Created","Updated","Actions"
"11-11-2021","04:10:19.8","-2.46","140.94","2.9","11","38 km TimurLaut KOTA-JAYAPURA-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"11-11-2021","11:24:22.3","-3.38","133.95","2.9","11","10 km Tenggara KAIMANA-PAPUABRT","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"11-11-2021","15:43:37.7","-4.61","138.71","3.1","10","57 km Tenggara NDUGA-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"11-11-2021","18:47:33.4","-4.07","134.34","3.6","12","97 km Tenggara KAIMANA-PAPUABRT","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"11-11-2021","22:03:12.7","-4.63","134.36","3.2","10","106 km TimurLaut DOBO-MALUKU","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"12-11-2021","10:13:34.1","-2.86","141.00","3.4","10","54 km Tenggara KOTA-JAYAPURA-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"13-11-2021","12:43:04.6","0.58","131.10","3.4","10","111 km TimurLaut RAJAAMPAT-PAPUABRT","tidak","","angkasa","berlian","","2021-11-13 13:03:09","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"14-11-2021","00:08:24.6","-2.67","136.57","3.5","14","22 km BaratLaut WAROPEN-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"14-11-2021","02:51:42.9","-2.28","140.28","2.9","10","36 km BaratLaut KAB-JAYAPURA-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"14-11-2021","06:12:58.4","-2.66","140.45","1.9","10","10 km Tenggara KAB-JAYAPURA-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"14-11-2021","07:33:12.8","-3.17","140.74","2.6","10","20 km BaratLaut KEEROM-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"14-11-2021","10:11:27.5","-2.36","140.30","2.5","10","27 km BaratLaut KAB-JAYAPURA-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"14-11-2021","16:36:46.1","-1.75","139.17","2.9","5","48 km TimurLaut SARMI-PAPUA","tidak","","angkasa","purnama","","2021-11-14 16:53:43","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"14-11-2021","12:18:10.3","-0.54","131.82","2.2","10","69 km BaratLaut TAMBRAUW-PAPUABRT","tidak","","pgr v","purnama","2021-11-14 16:53:04","2021-11-14 16:53:23","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"14-11-2021","16:25:21.6","-1.31","132.45","2.3","3","15 km Tenggara MAYBRAT-PAPUABRT","tidak","","pgr v","purnama","2021-11-14 16:53:06","2021-11-14 16:53:35","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"14-11-2021","19:36:14.5","-0.54","131.51","3.2","14","45 km TimurLaut KOTA-SORONG-PAPUABRT","tidak","","angkasa","purnama","","2021-11-14 19:59:24","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"14-11-2021","18:52:20.4","-2.00","133.39","2.4","6","18 km BaratLaut TELUKBINTUNI-PAPUABRT","tidak","","pgr v","purnama","2021-11-14 19:58:55","2021-11-14 19:59:15","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"15-11-2021","13:22:54.3","-2.76","140.57","2.0","10","22 km BaratDaya KOTA-JAYAPURA-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"15-11-2021","21:47:52.1","-2.75","140.35","1.8","10","19 km BaratDaya KAB-JAYAPURA-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"16-11-2021","02:29:30.2","-3.43","135.41","4.2","36","39 km BaratLaut NABIRE-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"16-11-2021","02:38:48.9","-2.90","139.75","3.5","39","81 km BaratDaya KAB-JAYAPURA-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"16-11-2021","10:39:03.2","-2.61","138.81","3.4","10","60 km Tenggara MAMBERAMOTENGAH-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"16-11-2021","13:54:15.3","-2.26","138.79","3.7","10","45 km Tenggara SARMI-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"17-11-2021","09:13:44.3","-3.02","139.50","4.5","10","85 km TimurLaut YALIMO-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"18-11-2021","01:21:50.0","-2.81","140.36","2.0","10","26 km BaratDaya KAB-JAYAPURA-PAPUA","tidak","","angkasa","purnama","","2021-11-19 13:25:24","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"18-11-2021","05:16:54.7","-3.32","140.11","2.3","10","72 km BaratLaut KEEROM-PAPUA","tidak","","angkasa","purnama","","2021-11-19 13:25:35","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"18-11-2021","13:59:06.9","-0.68","131.47","3.3","10","30 km TimurLaut KOTA-SORONG-PAPUABRT","tidak","","angkasa","lidya","","2021-11-18 14:13:03","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"18-11-2021","14:07:54.9","-5.12","154.58","6.4","10","1544 km Tenggara KEEROM-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"18-11-2021","14:59:53.1","-1.47","132.09","3.1","10","32 km BaratDaya MAYBRAT-PAPUABRT","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"18-11-2021","22:18:05.3","-0.48","132.12","3.6","10","45 km BaratLaut TAMBRAUW-PAPUABRT","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"19-11-2021","14:30:34.7","-3.02","136.07","3.4","10","65 km TimurLaut NABIRE-PAPUA","tidak","","angkasa","purnama","","2021-11-19 20:05:00","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"19-11-2021","14:53:30.9","-3.01","136.06","4.2","20","65 km TimurLaut NABIRE-PAPUA","tidak","","angkasa","purnama","","2021-11-25 23:12:25","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"19-11-2021","15:34:25.2","-2.87","140.53","2.4","2","35 km Tenggara KAB-JAYAPURA-PAPUA","tidak","","angkasa","purnama","2021-11-19 20:05:22","2021-11-19 20:05:43","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"19-11-2021","16:29:26.9","-2.23","139.52","2.5","25","95 km Tenggara SARMI-PAPUA","tidak","","angkasa","purnama","2021-11-19 20:05:26","2021-11-19 20:05:51","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"20-11-2021","18:51:17.8","-2.62","141.45","2.9","10","93 km Tenggara KOTA-JAYAPURA-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"20-11-2021","19:14:17.8","-3.40","135.43","3.3","29","38 km BaratLaut NABIRE-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"20-11-2021","19:37:42.2","-2.91","140.55","2.0","10","39 km BaratDaya KOTA-JAYAPURA-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
